"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"57","ABCB11",20.0454973054529,0.450352595581221,1.38090718199453,0.326128071063218,0.744327459436733,0.980303100874488
"58","ABCB4",122.771791324559,-0.386567877370674,1.17651047804378,-0.328571555107126,0.742479551077433,0.980303100874488
"60","ABCB6",142.060489921364,0.135354999262683,0.401713686698125,0.336943957212983,0.736159147766264,0.980303100874488
"61","ABCB7",184.219562922835,0.0796245746818889,0.445408327766033,0.178767593056128,0.858120192325876,0.992838797600056
"62","ABCB8",140.680428045976,-0.652665164524251,0.540249996800209,-1.20807990446988,0.22701652863443,0.779251009906994
"63","ABCB9",73.732220314116,-0.75024451605565,0.557314741490858,-1.34617741143665,0.178245308065344,0.743660458580196
"64","ABCC1",18.7145408363184,0.0399922499483879,1.52854447180864,0.0261636155741464,0.979126836506835,0.999138722516424
"65","ABCC10",125.310821795783,0.113905190783454,0.49987352671189,0.227868020002397,0.81974884505031,0.991590927124726
"66","ABCC11",3.92581935806132,1.42556120522254,2.12106692342941,0.672096287710546,0.501522399682478,0.93171039281462
"67","ABCC12",2.05860825010125,4.12815611739512,3.1837178035931,1.29664636505665,0.194752891619517,0.75893938773525
"69","ABCC2",30.6821066312068,-0.0109150271355909,1.7487766145945,-0.006241521669777,0.995020018557641,0.999909246892857
"70","ABCC3",140.302820061194,0.184995950498689,0.331205758224867,0.558552941501364,0.576466863794935,0.952507393984492
"71","ABCC4",58.1111942162631,-0.373888951542633,0.59146201474228,-0.632143641051148,0.527293020562278,0.940792311748779
"72","ABCC5",444.620858532423,0.395723904268,0.333886503495145,1.18520485292319,0.235936461657372,0.786998765840626
"75","ABCC6P1",1.33746276743677,3.51284110986478,3.19206406437149,1.10049204496666,0.271117793774765,0.80601177842284
"77","ABCC8",4.58283417281342,-0.139818037889928,2.67942164576924,-0.0521821707720763,0.958383539239389,0.998355001438543
"78","ABCC9",133.116385235232,-0.156257224749364,0.81375320290659,-0.19202041133754,0.847726216997254,0.992593937216176
"79","ABCD1",124.886648171791,-0.0679369650009568,0.509295125848987,-0.13339410010592,0.893881711144655,0.995602245962101
"80","ABCD2",678.995934084322,-0.270964378615011,0.74575019355815,-0.363344697669036,0.716347407616697,0.977439336010236
"81","ABCD3",515.702217571881,0.14676779263992,0.760933654005598,0.192878566833424,0.847054071031027,0.992593937216176
"82","ABCD4",130.443351667999,-0.365085402186817,0.518476204844252,-0.704150737826988,0.481338905596967,0.925443152481514
"83","ABCE1",293.467425217367,0.231055161037935,0.351755784913897,0.656862433959666,0.511269374955219,0.934523022465452
"85","ABCF2",32.2631213892857,-0.041324015485116,1.32658888120078,-0.0311505818198258,0.975149450762222,0.998372505038111
"86","ABCF3",240.985409813184,0.29259530940151,0.298033730260977,0.981752331003929,0.326221877539382,0.8496875221842
"87","ABCG1",251.518676970142,0.169028080940696,0.445702281514358,0.37923988265528,0.704509737596678,0.976535452556812
"88","ABCG2",104.829458288865,2.50091385416804,1.09506302516653,2.28380814317763,0.0223828088905962,0.36166549565587
"89","ABCG4",37.1577585139777,0.0277851484716559,0.63200479156372,0.0439635092052218,0.964933491163899,0.998372505038111
"90","ABCG5",1.75772709729597,-2.57610713758626,3.09306270609442,-0.832866120855043,0.404920238697827,0.896273356330923
"91","ABCG8",24.19272606718,-1.71801141899754,1.02173709796916,-1.68146132935011,0.0926733416832323,0.609115877073602
"92","ABHD1",83.4775845608142,-1.07233127025907,0.88726973651565,-1.20857415296296,0.226826491411903,0.77911184769145
"93","ABHD10",23.0890200039489,0.295515372730941,0.692784112677339,0.426561994311461,0.669698384616657,0.971950854817896
"94","ABHD11",80.7602811476235,-0.580494823884009,0.684034714235028,-0.848633573419136,0.396085219231449,0.891254422916797
"95","ABHD11-AS1",6.48621586081636,-0.502223352270253,1.92831936367085,-0.260446148979283,0.794519649084303,0.9869110600449
"96","ABHD12",407.611137032866,-0.0395920137544345,0.317677602407464,-0.124629540938339,0.900816840439913,0.995602245962101
"97","ABHD12B",9.75430461390117,1.88895284562849,1.3874318915554,1.3614742872249,0.173363853887336,0.737824255220639
"98","ABHD13",85.7458335889568,0.122263609065824,0.431346929982628,0.28344610930869,0.776834886841746,0.985379182931971
"99","ABHD14A",20.3116265690388,-0.5541700368432,1.16073686497973,-0.477429513581339,0.633056302143472,0.965282397169008
"101","ABHD14B",152.825942333805,-0.118979989845814,0.41282371012938,-0.288210165565648,0.773185867795384,0.984511884854042
"102","ABHD15",94.7180122017518,-0.558760784051965,0.753830704648438,-0.741228475580009,0.458554920578494,0.918510642613028
"104","ABHD16B",73.6650184122211,1.01377724282768,1.10063055800282,0.921087676020236,0.357004653940291,0.868638017677581
"105","ABHD17A",86.8906265748768,-1.37342344938812,0.519140569911389,-2.64557140972925,0.00815530717266217,0.236463996226586
"106","ABHD17B",65.6201666225774,0.0684216353912808,0.538550912241805,0.127047664085211,0.898902673689321,0.995602245962101
"107","ABHD17C",218.051232958584,-1.05046863668809,0.380959962509977,-2.75742529416219,0.0058258523792713,0.209658806482414
"108","ABHD18",60.9185054436173,-0.234382100983714,0.383924177821092,-0.610490598205918,0.541536869546994,0.944031575622094
"109","ABHD2",778.336641088887,0.277563071462731,0.372835484316971,0.744465275270733,0.456595041447608,0.918510642613028
"110","ABHD3",33.8681796471839,0.187885483353356,0.676258220029201,0.277830979038219,0.781142109188339,0.985772646361821
"111","ABHD4",327.078168947818,0.124674184151857,0.26141415309572,0.476922089624604,0.633417601597491,0.965282397169008
"112","ABHD5",228.232741154487,0.318589332222603,0.41858788568637,0.761104998775114,0.446594354994013,0.913610016261095
"113","ABHD6",115.939274945501,-0.802151197014123,0.71770376331349,-1.1176633564115,0.263710798563738,0.802174963680197
"114","ABHD8",55.2919474302113,-0.0852600220179169,0.713019970715895,-0.119575924265225,0.904819092510339,0.995602245962101
"115","ABI1",828.738456673151,0.265082712741032,0.30731149341533,0.862586393352932,0.388364914117817,0.885497441627622
"116","ABI2",327.646788793566,0.700116422320231,0.371097702416002,1.88660942323862,0.0592128783871767,0.529143887597113
"117","ABI3",25.65842425705,0.931692888194927,1.0131845604797,0.919568778025799,0.35779814871685,0.869716466930113
"118","ABI3BP",505.079578740173,0.793386071656261,0.335078849473847,2.36775932859404,0.0178961731855183,0.328601841115086
"119","ABITRAM",45.2183446110554,-0.423304174499362,0.476378116799181,-0.88858862229771,0.374224208033907,0.878946196265922
"120","ABL1",466.009938814547,0.15353187897357,0.233482757981834,0.657572663183613,0.510812765267523,0.934458652899386
"121","ABL2",291.609324962145,0.663717511650435,0.315816309946395,2.10159352366282,0.0355888976669364,0.431559434354991
"122","ABLIM1",1723.69709951152,0.457700127906211,0.339152645570081,1.34954019638226,0.177163518323342,0.742548126217532
"123","ABLIM2",64.8088582300083,0.0569468669212523,0.857697536758211,0.0663950454334882,0.947063314672233,0.998286486714326
"124","ABLIM3",130.292562284169,0.0542222819839128,0.341218944768813,0.158907595299699,0.873741676552822,0.994290620753876
"125","ABO",2.88290119436125,0.82191968661632,2.76104591064819,0.297684179551858,0.765944219205553,0.983482221768866
"126","ABR",17.3802788185393,0.440115945856372,1.3246498193235,0.332250787669408,0.739699896794296,0.980303100874488
"127","ABRA",50.7884320717555,-0.443749108596841,3.00181935027745,-0.147826720004262,0.882479521494523,0.995063821293133
"128","ABRACL",27.77688829689,-1.21600591408806,0.495265948086261,-2.45525847029619,0.0140783322977401,0.30478474818518
"129","ABRAXAS1",12.4870949532316,0.668437455086445,1.15266822865607,0.579904467277452,0.561979043017926,0.948203675374896
"130","ABRAXAS2",226.47908835168,0.153885835646973,0.450251211920042,0.341777726684499,0.732518172822169,0.980303100874488
"131","ABT1",43.1591894461289,0.416758958106522,0.601797077820063,0.692524064118393,0.488608279120027,0.927536425619926
"133","ABTB2",158.941991077182,-0.383092788234753,0.351049876005987,-1.09127737799919,0.275150848794216,0.808671846484409
"134","ACAA1",252.687562430521,-0.580191991283275,0.409904859828111,-1.41543086736413,0.156942204676915,0.717946396691851
"135","ACAA2",259.687702157413,-1.49811662669922,0.700993344875279,-2.13713387958878,0.0325871040486424,0.4169444087672
"136","ACACA",3.48068303766884,1.79401096571289,2.24209719826708,0.800148614029526,0.423624697827488,0.904647122069495
"137","ACACB",1340.73759720999,-3.02100114815469,0.819690622320742,-3.68553825783868,0.000228219794507843,0.0531935149186619
"138","ACAD10",91.3231706732528,-0.176123696387479,0.494399172033142,-0.356237846562722,0.721662451131351,0.978101906848302
"140","ACAD8",84.4887788242286,0.0704520745373116,0.550098399918376,0.12807176779239,0.898092178066302,0.995602245962101
"141","ACAD9",201.39121224636,-0.19649418208437,0.53929415151671,-0.36435437234346,0.715593402750479,0.977439336010236
"142","ACADL",197.49130091725,-0.972032998277358,0.942403658613887,-1.03144017894312,0.302334447349569,0.830042086374922
"143","ACADM",217.761766030901,-2.11540737509571,0.64135908029416,-3.29831983375907,0.000972652763134587,0.0984637401258698
"144","ACADS",178.193124066554,-1.89201179348559,0.767104042158377,-2.46643439416913,0.0136465724757196,0.300594736859028
"145","ACADSB",75.4742639266366,0.284345675662086,0.65286496435493,0.435535204348172,0.663173991473764,0.970144405304913
"148","ACAP1",49.2669645259561,0.44345709251723,0.751169640642219,0.590355451716729,0.554952370283909,0.947575830471407
"149","ACAP2",381.351391671859,0.790811373887337,0.349583794204432,2.26215112656189,0.0236880677128792,0.369311923028577
"150","ACAP3",281.821455309308,0.3696368983159,0.432085156438199,0.855472336432294,0.392289712744261,0.888567355948538
"151","ACAT1",634.956839866378,-0.602070548042094,0.75675267972275,-0.795597510487407,0.426266014050616,0.905732472652199
"152","ACAT2",257.629433678845,-0.355126193595044,0.542771952871731,-0.654282506154049,0.512929814367755,0.935825756576933
"153","ACBD3",176.388700361373,0.032531735035769,0.37828868182234,0.0859971143705727,0.931468711128173,0.998275170116968
"154","ACBD3-AS1",2.18002446085587,4.23335537061011,3.12512073500821,1.35462138252364,0.175538217315294,0.741096502271266
"155","ACBD4",84.8929202899184,-1.04698398634322,0.733862374549328,-1.42667620340418,0.153673247879517,0.713193265024294
"156","ACBD5",118.773951117332,0.326835268166942,0.27102081991484,1.20594155190601,0.227840027578194,0.780035463373141
"157","ACBD6",89.5007363668,-0.722073176036742,0.339907996388196,-2.12431947382636,0.0336434384157305,0.422366172297676
"158","ACBD7",5.65289983202427,-1.89222803319007,1.64431531728932,-1.15076957156213,0.249827046130506,0.794092709642413
"160","ACCS",21.4226319742834,-0.020959735297805,0.869968925321579,-0.0240925103043851,0.980778817501329,0.999648322706727
"162","ACD",94.1694081990683,-1.52852717108958,0.868172385661286,-1.76062634142101,0.0783016672013832,0.578121607609983
"163","ACE",1182.95892530555,0.314404070333158,0.497700397901062,0.631713520139999,0.527574091795191,0.940792311748779
"164","ACE2",3.11128869473459,-2.14406120028485,1.99784629755793,-1.07318626207914,0.283187553290867,0.81697379844049
"165","ACER1",17.7515889195022,0.374421289610325,1.27465223318254,0.293743877634352,0.768953623086168,0.98383110399752
"166","ACER2",43.9847759379944,-0.049921419054662,0.643143679175386,-0.077620943299434,0.938129582298189,0.998286486714326
"167","ACER3",106.865288007596,0.856591505415204,0.519384937936078,1.64924209935527,0.0990980463222417,0.626153101788668
"168","ACHE",40.4574962495502,-0.125125694742236,1.35145806815154,-0.0925857025763127,0.926232702646191,0.997241481389956
"169","ACIN1",1239.98625876006,0.148915538395746,0.271784878987282,0.54791693691949,0.583748938668349,0.954249391694218
"171","ACKR2",51.0927718547977,1.15609799313194,0.99159532186047,1.16589698200958,0.243656099349319,0.789258995224154
"172","ACKR3",537.762949871997,0.217156579691431,0.455398227206868,0.476849857372821,0.633469040007924,0.965282397169008
"173","ACKR4",8.71348965598466,-0.707003770422941,1.66960887758585,-0.423454726381922,0.671963523615961,0.972279360855592
"174","ACLY",7086.56170888747,-2.97626285925353,0.942605802077125,-3.15748412824856,0.00159136899540322,0.121093634504934
"175","ACMSD",1.3929094530205,3.61681126127113,3.1903993747069,1.13365470478235,0.256939416469424,0.798852775080645
"176","ACO1",444.539206748417,-0.120948881159704,0.645618947288938,-0.187337874248561,0.851395729257426,0.992838797600056
"177","ACO2",2265.73671785713,-1.87702013931319,0.856900541628995,-2.19047607992511,0.0284897277199564,0.397750712542706
"178","ACOD1",1.48990385507164,3.68242878825177,3.18940728699368,1.15458091641937,0.248262085222165,0.793318991861441
"179","ACOT1",13.4127928802296,2.77032738499452,1.41297483384852,1.96063462605982,0.0499216601225491,0.495245790048538
"181","ACOT12",25.6300770584352,0.336800383068881,1.5889087683012,0.211969617002602,0.83213073782972,0.992413923098632
"182","ACOT13",167.612812539694,-0.287883402417508,0.53324100462891,-0.539874840678935,0.589283349721962,0.955388329650474
"183","ACOT2",62.0290927491243,1.0231804913954,0.867059573554957,1.18005789060184,0.23797719108548,0.78713932340079
"184","ACOT4",58.2122690961557,0.245487372073929,0.972271345987665,0.252488539425746,0.80066347143107,0.988263370917767
"185","ACOT6",26.9522741209306,-0.805092406358508,1.31274703978893,-0.613288304567768,0.539685725192266,0.943610052383454
